,Model Name,Selected Features,Parameters,Train Time,Test Time,Train Accuracy,Test Accuracy,F1,Precision,Recall
0,LGBM + No Sampler + k=50 + isotonic,"""e_cblp"",""e_cp"",""e_crlc"",""e_cparhdr"",""e_minalloc"",""e_maxalloc"",""e_sp"",""e_csum"",""e_ip"",""e_cs"",""e_lfarlc"",""e_ovno"",""e_oemid"",""e_oeminfo"",""e_lfanew"",""Machine"",""NumberOfSections"",""TimeDateStamp"",""PointerToSymbolTable"",""NumberOfSymbols"",""SizeOfOptionalHeader"",""Characteristics"",""Magic"",""MajorLinkerVersion"",""MinorLinkerVersion"",""SizeOfCode"",""SizeOfInitializedData"",""AddressOfEntryPoint"",""ImageBase"",""SectionAlignment"",""FileAlignment"",""MinorImageVersion"",""MajorSubsystemVersion"",""SizeOfHeaders"",""CheckSum"",""Subsystem"",""DllCharacteristics"",""SizeOfStackReserve"",""SizeOfStackCommit"",""SizeOfHeapReserve"",""SizeOfHeapCommit"",""LoaderFlags"",""SectionsLength"",""SectionMinEntropy"",""SectionMinRawsize"",""SectionMinVirtualsize"",""SectionMaxPointerData"",""SectionMaxChar"",""DirectoryEntryImport"",""DirectoryEntryExport""","{'num_leaves': 83, 'learning_rate': 0.3495926344797191, 'max_depth': 4, 'min_child_samples': 42, 'subsample': 0.6221372590923239, 'colsample_bytree': 0.6055201014286481, 'reg_alpha': 0.0016729945936162748, 'reg_lambda': 1.2481847912008013}",0.2965662479400635,0.02005743980407715,0.9988355366805945,0.9866320830007981,0.9866299705269613,0.9869398303109257,0.9869398303109257
1,XGB + No Sampler + k=62 + isotonic,"""e_cblp"",""e_cp"",""e_crlc"",""e_cparhdr"",""e_minalloc"",""e_maxalloc"",""e_ss"",""e_sp"",""e_csum"",""e_ip"",""e_cs"",""e_lfarlc"",""e_ovno"",""e_oemid"",""e_oeminfo"",""e_lfanew"",""Machine"",""NumberOfSections"",""TimeDateStamp"",""PointerToSymbolTable"",""NumberOfSymbols"",""SizeOfOptionalHeader"",""Characteristics"",""Magic"",""MajorLinkerVersion"",""MinorLinkerVersion"",""SizeOfCode"",""SizeOfInitializedData"",""SizeOfUninitializedData"",""AddressOfEntryPoint"",""BaseOfCode"",""ImageBase"",""SectionAlignment"",""FileAlignment"",""MajorOperatingSystemVersion"",""MinorOperatingSystemVersion"",""MajorImageVersion"",""MinorImageVersion"",""MajorSubsystemVersion"",""MinorSubsystemVersion"",""SizeOfHeaders"",""CheckSum"",""SizeOfImage"",""Subsystem"",""DllCharacteristics"",""SizeOfStackReserve"",""SizeOfStackCommit"",""SizeOfHeapReserve"",""SizeOfHeapCommit"",""LoaderFlags"",""NumberOfRvaAndSizes"",""SectionsLength"",""SectionMinEntropy"",""SectionMinRawsize"",""SectionMinVirtualsize"",""SectionMaxPointerData"",""SectionMaxChar"",""DirectoryEntryImport"",""DirectoryEntryExport"",""ImageDirectoryEntryImport"",""ImageDirectoryEntryResource"",""ImageDirectoryEntryException""","{'max_depth': 5, 'learning_rate': 0.3962069556377089, 'subsample': 0.887570007876122, 'colsample_bytree': 0.7262136146476932, 'reg_alpha': 0.4844400272239695, 'reg_lambda': 0.013594948629334448, 'min_child_weight': 0.0671193959661852}",1.8673367500305176,0.013695478439331055,0.9997260086307281,0.9860335195530726,0.9860309481945825,0.9863916504605594,0.9863916504605594
2,RandomForest + No Sampler + k=27 + isotonic,"""e_maxalloc"",""e_lfanew"",""Machine"",""NumberOfSections"",""TimeDateStamp"",""SizeOfOptionalHeader"",""Characteristics"",""Magic"",""MajorLinkerVersion"",""MinorLinkerVersion"",""ImageBase"",""SectionAlignment"",""FileAlignment"",""MajorSubsystemVersion"",""CheckSum"",""Subsystem"",""DllCharacteristics"",""SizeOfStackReserve"",""SizeOfHeapReserve"",""SectionsLength"",""SectionMinEntropy"",""SectionMinRawsize"",""SectionMinVirtualsize"",""SectionMaxPointerData"",""SectionMaxChar"",""DirectoryEntryImport"",""DirectoryEntryExport""","{'n_estimators': 55, 'max_depth': 13, 'min_samples_split': 8, 'min_samples_leaf': 1, 'max_features': 0.849592388873454}",8.06896185874939,0.0728616714477539,0.995890129460922,0.9832402234636871,0.9832363689183817,0.9836850879625644,0.9836850879625644
3,AdaBoost + No Sampler + k=30 + isotonic,"""e_maxalloc"",""e_oemid"",""e_oeminfo"",""e_lfanew"",""Machine"",""NumberOfSections"",""TimeDateStamp"",""SizeOfOptionalHeader"",""Characteristics"",""Magic"",""MajorLinkerVersion"",""MinorLinkerVersion"",""AddressOfEntryPoint"",""ImageBase"",""SectionAlignment"",""FileAlignment"",""MajorSubsystemVersion"",""CheckSum"",""Subsystem"",""DllCharacteristics"",""SizeOfStackReserve"",""SizeOfHeapReserve"",""SectionsLength"",""SectionMinEntropy"",""SectionMinRawsize"",""SectionMinVirtualsize"",""SectionMaxPointerData"",""SectionMaxChar"",""DirectoryEntryImport"",""DirectoryEntryExport""","{'n_estimators': 143, 'learning_rate': 0.9515553654599467}",6.540464878082275,0.30568552017211914,0.9930132200835674,0.9782521947326417,0.9782440458234297,0.9789698063686455,0.9789698063686455
4,GradientBoosting + No Sampler + k=36 + isotonic,"""e_maxalloc"",""e_ip"",""e_cs"",""e_lfarlc"",""e_ovno"",""e_oemid"",""e_oeminfo"",""e_lfanew"",""Machine"",""NumberOfSections"",""TimeDateStamp"",""NumberOfSymbols"",""SizeOfOptionalHeader"",""Characteristics"",""Magic"",""MajorLinkerVersion"",""MinorLinkerVersion"",""AddressOfEntryPoint"",""ImageBase"",""SectionAlignment"",""FileAlignment"",""MajorSubsystemVersion"",""SizeOfHeaders"",""CheckSum"",""Subsystem"",""DllCharacteristics"",""SizeOfStackReserve"",""SizeOfHeapReserve"",""SectionsLength"",""SectionMinEntropy"",""SectionMinRawsize"",""SectionMinVirtualsize"",""SectionMaxPointerData"",""SectionMaxChar"",""DirectoryEntryImport"",""DirectoryEntryExport""","{'n_estimators': 178, 'learning_rate': 0.1016547620213266, 'max_depth': 7, 'min_samples_split': 7, 'min_samples_leaf': 5, 'subsample': 0.6026903355529062}",23.244919776916504,0.07397270202636719,0.9995890129460921,0.9860335195530726,0.9860309481945825,0.9863916504605594,0.9863916504605594
5,DecisionTree + No Sampler + k=11 + isotonic,"""e_maxalloc"",""Machine"",""TimeDateStamp"",""SizeOfOptionalHeader"",""Magic"",""SectionAlignment"",""MajorSubsystemVersion"",""Subsystem"",""DllCharacteristics"",""SizeOfStackReserve"",""SectionMaxChar""","{'max_depth': 13, 'min_samples_split': 6, 'min_samples_leaf': 4, 'max_features': 0.6823937142721304}",0.046072959899902344,0.002830982208251953,0.9934927049797931,0.9798483639265763,0.9798411213773467,0.9805389434016302,0.9805389434016302
6,ExtraTrees + No Sampler + k=14 + isotonic,"""e_maxalloc"",""Machine"",""TimeDateStamp"",""SizeOfOptionalHeader"",""Magic"",""MajorLinkerVersion"",""MinorLinkerVersion"",""SectionAlignment"",""FileAlignment"",""MajorSubsystemVersion"",""Subsystem"",""DllCharacteristics"",""SizeOfStackReserve"",""SectionMaxChar""",{},1.6817395687103271,0.20456910133361816,0.9985615453113227,0.9774541101356744,0.9774445842983552,0.9782620485093774,0.9782620485093774
7,LogisticRegression + No Sampler + k=10 + isotonic,"""e_maxalloc"",""Machine"",""TimeDateStamp"",""SizeOfOptionalHeader"",""Magic"",""SectionAlignment"",""MajorSubsystemVersion"",""Subsystem"",""SizeOfStackReserve"",""SectionMaxChar""",{},0.299943208694458,0.0021681785583496094,0.9332146037399822,0.9062250598563448,0.9060407181883668,0.9094382186933455,0.9094382186933455
8,SGD + No Sampler + k=13 + isotonic,"""e_maxalloc"",""Machine"",""TimeDateStamp"",""SizeOfOptionalHeader"",""Magic"",""MinorLinkerVersion"",""SectionAlignment"",""FileAlignment"",""MajorSubsystemVersion"",""Subsystem"",""DllCharacteristics"",""SizeOfStackReserve"",""SectionMaxChar""","{'alpha': 0.0009643982684054232, 'loss': 'hinge', 'penalty': 'l1'}",0.5156164169311523,0.0020542144775390625,0.9147886841564491,0.8431763766959298,0.8412648678496637,0.8605432071007185,0.8605432071007185
9,CatBoost + No Sampler + k=42 + isotonic,"""e_cblp"",""e_cp"",""e_crlc"",""e_minalloc"",""e_maxalloc"",""e_sp"",""e_ip"",""e_cs"",""e_lfarlc"",""e_ovno"",""e_oemid"",""e_oeminfo"",""e_lfanew"",""Machine"",""NumberOfSections"",""TimeDateStamp"",""PointerToSymbolTable"",""NumberOfSymbols"",""SizeOfOptionalHeader"",""Characteristics"",""Magic"",""MajorLinkerVersion"",""MinorLinkerVersion"",""AddressOfEntryPoint"",""ImageBase"",""SectionAlignment"",""FileAlignment"",""MajorSubsystemVersion"",""SizeOfHeaders"",""CheckSum"",""Subsystem"",""DllCharacteristics"",""SizeOfStackReserve"",""SizeOfHeapReserve"",""SectionsLength"",""SectionMinEntropy"",""SectionMinRawsize"",""SectionMinVirtualsize"",""SectionMaxPointerData"",""SectionMaxChar"",""DirectoryEntryImport"",""DirectoryEntryExport""",{},14.904382705688477,0.01706838607788086,0.9972600863072814,0.9840383080606544,0.9840351939244547,0.9844162740058542,0.9844162740058542
